state_scid,school_name,district,county,locale,charter,magnet,title_1,num_students,pct_erw_benchmark_met_12,pct_math_benchmark_met_12,pct_erw_benchmark_met_11,pct_math_benchmark_met_11,pct_both_benchmarks_met_12,pct_both_benchmarks_11,free_reduced_lunch,sat_participation_rate
17640221735000.0,Lower Lake High,Konocti Unified,Lake County,Town: Distant,No,No,Yes,927.0,72.73,21.21,73.91,39.13,21.21,39.13,0.837108953613808,0.18360655737704917
34674393431012.0,Luther Burbank High,Sacramento City Unified,Sacramento County,City: Large,No,No,Yes,1674.0,43.9,24.39,35.49,14.2,21.95,12.04,0.8470728793309439,0.5398550724637681
43694684334421.0,Lynbrook High,Fremont Union High,Santa Clara County,City: Large,No,No,–,1944.0,96.43,94.64,100.00,99.68,94.64,99.68,0.05555555555555555,0.4976635514018692
19647741935436.0,Lynwood High,Lynwood Unified,Los Angeles County,Suburb: Large,No,No,Yes,2137.0,54.19,21.23,40.90,14.42,19.55,13.71,0.8568086102012167,0.602
20652432035707.0,Madera High,Madera Unified,Madera County,City: Small,No,No,Yes,2094.0,67.61,36.62,44.34,21.23,35.21,18.63,0.7946513849092646,0.526595744680851
20652430110965.0,Madera South High,Madera Unified,Madera County,City: Small,No,No,Yes,3405.0,46.15,20.77,39.74,17.43,18.46,15.96,0.923935389133627,0.5430656934306569
37683383733698.0,Madison High,San Diego Unified,San Diego County,City: Large,No,No,Yes,969.0,64.63,26.83,73.68,38.6,25.61,37.72,0.6934984520123839,0.4188034188034188
1612596066450.0,Madison Park Academy 6-12,Oakland Unified,Alameda County,City: Large,No,No,Yes,725.0,39.29,14.29,36.96,19.57,14.29,10.87,0.9379310344827586,0.357487922705314
30664313034204.0,Magnolia High,Anaheim Union High,Orange County,City: Large,No,No,Yes,1630.0,59.68,38.71,73.21,41.07,34.68,41.07,0.8533742331288343,0.22900763358778625
19649801995737.0,Malibu High,Santa Monica-Malibu Unified,Los Angeles County,Suburb: Large,No,No,No,528.0,90.28,77.78,96.30,88.89,76.39,87.65,0.13825757575757575,0.49514563106796117
26736922630010.0,Mammoth High,Mammoth Unified,Mono County,Town: Remote,No,No,No,349.0,92.31,57.69,94.12,76.47,57.69,76.47,0.44126074498567336,0.23626373626373626
39685933935103.0,Manteca High,Manteca Unified,San Joaquin County,Suburb: Small,No,No,Yes,1686.0,57.33,33.33,91.67,68.06,33.33,66.67,0.5148279952550415,0.18329177057356608
19647331935519.0,Manual Arts Senior High,Los Angeles Unified,Los Angeles County,City: Large,No,Yes,Yes,1298.0,32.21,9.13,24.50,7.95,8.17,6.95,0.8243451463790447,0.6986301369863014
37684113733953.0,Mar Vista Senior High,Sweetwater Union High,San Diego County,Suburb: Large,No,No,Yes,1609.0,69.81,33.02,86.59,57.32,32.08,57.32,0.6761963952765693,0.23707440100882723
